"","balls","strikes","outs_when_up","inning","pitch_number","situation_score","pitch_score"
"331",2,1,1,7,4,3,1
"332",0,0,1,7,1,1,1
"333",0,2,1,6,4,4,0
"334",1,1,1,7,3,3,0
"335",0,1,1,7,2,3,0
"336",0,2,1,6,3,4,1
"337",2,2,1,7,6,0,1
"338",2,2,1,7,5,0,0
"339",0,0,1,7,1,3,1
"340",0,1,1,6,2,4,1
"341",0,2,0,7,3,3,0
"342",2,1,1,7,4,0,0
"343",0,0,1,6,1,4,1
"344",2,2,0,6,5,3,0
"345",1,1,1,7,3,0,1
"346",0,1,0,7,2,3,0
"347",0,0,0,7,1,3,0
"348",2,1,0,6,4,3,1
"349",1,0,1,7,2,0,1
"350",1,1,0,6,3,3,0
"351",2,1,0,7,4,1,0
"352",0,0,1,7,1,0,0
"353",2,0,0,7,3,1,1
"354",1,0,0,6,2,3,1
"355",2,0,1,7,3,0,1
"356",0,0,0,6,1,3,1
"357",1,0,0,7,2,1,1
"358",1,0,1,7,2,0,0
"359",3,2,0,6,7,1,1
"360",0,0,1,7,1,0,0
"361",0,0,0,7,1,1,1
"362",0,0,0,7,1,0,0
"363",3,2,0,6,6,1,1
"364",0,2,0,7,3,0,1
"365",0,0,2,6,1,0,1
"366",0,1,0,7,2,0,0
"367",2,2,0,6,5,1,1
"368",1,2,0,6,4,1,1
"369",0,0,0,7,1,0,0
"370",3,2,1,6,7,0,1
"371",1,2,2,6,5,1,0
"372",2,2,1,6,6,0,1
"373",0,2,0,6,3,1,0
"374",1,2,1,6,5,0,0
"375",0,1,0,6,2,1,0
"376",0,2,2,6,4,1,1
"377",0,0,0,6,1,1,1
"378",0,2,1,6,4,0,1
"379",0,2,2,6,3,1,1
"380",0,1,2,6,2,1,1
"381",1,1,0,6,3,0,0
"382",0,2,1,6,3,0,1
"383",0,0,2,6,1,1,1
"384",0,1,0,6,2,0,0
"385",0,1,1,6,2,0,1
"386",0,2,2,6,3,0,1
"387",0,0,0,6,1,0,1
"388",0,0,1,6,1,0,1
"389",0,0,0,6,1,0,1
"390",2,2,2,6,6,0,1
"391",0,1,2,6,2,0,1
"392",0,0,2,6,1,0,1
"393",1,2,2,6,5,0,1
"394",2,1,2,6,4,0,0
"395",1,2,1,6,4,0,0
"396",1,2,2,6,4,0,0
"397",2,0,2,6,3,0,0
"398",1,1,1,6,3,0,0
"399",1,0,2,6,2,0,1
"400",1,1,2,6,3,0,1
"401",0,0,2,6,1,0,1
"402",1,0,2,6,2,0,0
"403",1,0,1,6,2,0,1
"404",0,0,2,6,1,0,0
